TF	Motif_enrichment	Targt_gene_enrichment	P_value	FDR
MITF	3.76765937313392e-13	0.0383390040148694	2.72806317001893e-13	5.35761162859644e-11
TFEC	3.76765937313392e-13	0.485738597483697	3.1875184838587e-13	5.35761162859644e-11
MLX	3.76765937313392e-13	0.814776622727573	3.28224218744772e-13	5.35761162859644e-11
TFEB	3.76765937313392e-13	0.530360344556063	3.28224218744772e-13	5.35761162859644e-11
TFE3	3.76765937313392e-13	0.406737683835914	3.76765937313392e-13	5.35761162859644e-11
MZF1	4.29207913358434e-09	0.0532782106256853	4.29207913358434e-09	5.08611377329744e-07
USF2	1.03772951833491e-08	0.57665732451916	9.29954537882202e-09	9.22282109420151e-07
USF1	1.03772951833491e-08	0.21855472018183	1.03772951833491e-08	9.22282109420151e-07
CEBPA	1.23357497161556e-06	0.00461466956545537	1.84192604938234e-08	1.45512157901205e-06
PKNOX2	5.3370213061388e-08	0.0140376081716241	3.61167687918672e-08	2.28250586769394e-06
FOXA3	7.1393738908355e-06	0.893995713435238	3.93229313182488e-08	2.28250586769394e-06
CEBPB	1.23357497161556e-06	0.0118269850566984	3.97626816636914e-08	2.28250586769394e-06
PKNOX1	5.3370213061388e-08	0.956176771779985	4.17335812658527e-08	2.28250586769394e-06
MEIS1	5.3370213061388e-08	0.122944515352339	5.3370213061388e-08	2.37163884291543e-06
TGIF1	5.3370213061388e-08	0.291232231777381	5.3370213061388e-08	2.37163884291543e-06
TGIF2	5.3370213061388e-08	0.989868164181331	5.3370213061388e-08	2.37163884291543e-06
FOXD3	7.1393738908355e-06	0.812530204490725	9.73047899264277e-08	4.06962974339354e-06
MEIS2	5.3370213061388e-08	0.846378984062216	1.25717632872154e-07	4.9658464984501e-06
DLX3	4.7669727383928e-05	0.00437554316677583	1.5737374551554e-07	5.88909121376572e-06
MYCN	4.30927036071368e-07	0.452050441949784	2.04599503988293e-07	7.27351236678383e-06
FOXG1	7.1393738908355e-06	0.843265026846618	2.19077815669469e-07	7.41734890195203e-06
ID1	1.6576771145255e-06	0.0093116291215921	2.96730524619392e-07	9.58979104565398e-06
MAX	1.6576771145255e-06	0.551643991234487	3.36995167759397e-07	1.04175462729101e-05
FOXC2	7.1393738908355e-06	0.853836204389487	3.67068515236906e-07	1.08637065178231e-05
DLX5	4.7669727383928e-05	0.0017341440874873	3.81986867715299e-07	1.08637065178231e-05
MYC	4.30927036071368e-07	0.219405459548254	4.07735722829569e-07	1.11351647634604e-05
MEIS3	5.3370213061388e-08	0.859195573677507	4.311953431912e-07	1.11351647634604e-05
RORA	0.000158520762500352	0.00214954030898229	4.38515630628541e-07	1.11351647634604e-05
CREB3L2	1.6576771145255e-06	0.655045263533315	4.70571721591656e-07	1.15371204845403e-05
